created_at,text
Wed May 03 23:39:55 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:40:01 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:40:09 +0000 2017,Zika: Mild epidemic in the US could cost in the hundreds of millions https://t.co/oXNdFPBCse
Wed May 03 23:40:14 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:40:20 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:40:29 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:40:59 +0000 2017,"RT @XHNews: New test easily, rapidly detects #Zika at low cost: study https://t.co/dKymWl9L2b https://t.co/t9f3OhTclG"
Wed May 03 23:41:17 +0000 2017,Cheap Test Might Pinpoint Where Zika Mosquitoes Lurk stat : Philly https://t.co/tQzkbgT5F7
Wed May 03 23:41:21 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:41:26 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:41:42 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:41:42 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:41:51 +0000 2017,#Zika: Mild #epidemic in the US could cost in the hundreds of millions // #health #preparedness https://t.co/aHPaZbNKSC
Wed May 03 23:42:03 +0000 2017,Zika Epidemic in U.S. Could Be a Costly Scenario #Pharmaceutical https://t.co/PM1RcFNMQN
Wed May 03 23:42:17 +0000 2017,"Zika Epidemic in U.S. Could Be a Costly Scenario https://t.co/kuGrKeIr5W from @WebMD"
Wed May 03 23:42:20 +0000 2017,"RT @Ryda_N: Also, this a weird ass way to compliment a guy on his good looks😂 https://t.co/vyJUn8slAw"
Wed May 03 23:42:36 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:42:41 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:42:45 +0000 2017,When you Google Zika after you get a bug bite on an island.
Wed May 03 23:42:54 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:43:01 +0000 2017,Is this you saying mhle? 😂 https://t.co/uBNpGe9BXS
Wed May 03 23:43:04 +0000 2017,RT @Intrexon: Money that helps states with #Zika tracking and education may not be available this summer: https://t.co/QejH9B6PPx (via @khn…
Wed May 03 23:43:12 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:43:18 +0000 2017,Cheap Test Might Pinpoint Where Zika Mosquitoes Lurk #Pharmaceutical https://t.co/ZFpj0JKhUx
Wed May 03 23:43:33 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:43:46 +0000 2017,"RT @leonhardtmindy: ABORTION nullifies lifesaving transplants Zika babies likely CREATED for compassion organ donation for elite, since bab…"
Wed May 03 23:43:48 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:43:49 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:44:31 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:44:51 +0000 2017,There might be a movie in there somewhere James... https://t.co/2v2g2qJmBP
